                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Wed Apr 23 13:50:20 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.949 V,   0.662 A,  11.949 V,  16.997 W
 Wed Apr 23 13:50:30 2014, 00:1e:c0:81:71:33,  30.9 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.926 V,   0.662 A,  11.949 V,  16.979 W
 Wed Apr 23 13:50:40 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.926 V,   0.662 A,  11.949 V,  17.009 W
 Wed Apr 23 13:50:50 2014, 00:1e:c0:81:71:33,  30.9 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.949 V,   0.662 A,  11.949 V,  16.997 W
 Wed Apr 23 13:51:00 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:51:10 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.972 V,   0.662 A,  11.949 V,  17.044 W
 Wed Apr 23 13:51:20 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:51:30 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:51:40 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:51:50 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.926 V,  17.012 W
 Wed Apr 23 13:52:00 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:52:10 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.949 V,   0.662 A,  11.949 V,  16.997 W
 Wed Apr 23 13:52:20 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:52:30 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:52:40 2014, 00:1e:c0:81:71:33,  30.9 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.926 V,  17.012 W
 Wed Apr 23 13:52:50 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:53:00 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:53:10 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.926 V,  17.012 W
 Wed Apr 23 13:53:20 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.926 V,   0.662 A,  11.949 V,  17.009 W
 Wed Apr 23 13:53:30 2014, 00:1e:c0:81:71:33,  30.8 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.949 V,   0.662 A,  11.949 V,  16.997 W
 Wed Apr 23 13:53:40 2014, 00:1e:c0:81:71:33,  30.9 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:53:50 2014, 00:1e:c0:81:71:33,  30.8 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.926 V,   0.662 A,  11.949 V,  17.009 W
 Wed Apr 23 13:54:00 2014, 00:1e:c0:81:71:33,  30.8 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.949 V,   0.662 A,  11.949 V,  16.997 W
 Wed Apr 23 13:54:10 2014, 00:1e:c0:81:71:33,  30.9 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:54:20 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:54:30 2014, 00:1e:c0:81:71:33,  30.9 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.949 V,   0.662 A,  11.949 V,  16.997 W
 Wed Apr 23 13:54:40 2014, 00:1e:c0:81:71:33,  30.7 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:54:50 2014, 00:1e:c0:81:71:33,  30.9 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:55:00 2014, 00:1e:c0:81:71:33,  30.9 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.665 A,  11.949 V,  17.057 W
 Wed Apr 23 13:55:10 2014, 00:1e:c0:81:71:33,  30.8 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.972 V,   0.662 A,  11.949 V,  17.044 W
 Wed Apr 23 13:55:20 2014, 00:1e:c0:81:71:33,  30.8 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:55:30 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:55:40 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.926 V,   0.662 A,  11.949 V,  17.009 W
 Wed Apr 23 13:55:50 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:56:00 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:56:10 2014, 00:1e:c0:81:71:33,  30.9 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.926 V,  17.012 W
 Wed Apr 23 13:56:20 2014, 00:1e:c0:81:71:33,  30.8 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:56:30 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.926 V,   0.662 A,  11.949 V,  17.009 W
 Wed Apr 23 13:56:40 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:56:50 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:57:00 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:57:10 2014, 00:1e:c0:81:71:33,  30.7 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.949 V,   0.662 A,  11.926 V,  16.982 W
 Wed Apr 23 13:57:20 2014, 00:1e:c0:81:71:33,  30.7 C,   1.063 V,     1,       1,       0,     1  0.902 A,  11.926 V,   0.800 A,  11.949 V,  20.322 W
 Wed Apr 23 13:57:30 2014, 00:1e:c0:81:71:33,  31.1 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.795 A,  11.926 V,  20.184 W
 Wed Apr 23 13:57:40 2014, 00:1e:c0:81:71:33,  31.4 C,   1.063 V,     1,       1,       0,     1  0.895 A,  11.903 V,   0.792 A,  11.926 V,  20.104 W
 Wed Apr 23 13:57:50 2014, 00:1e:c0:81:71:33,  31.6 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 13:58:00 2014, 00:1e:c0:81:71:33,  31.9 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 13:58:10 2014, 00:1e:c0:81:71:33,  32.2 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.903 V,  20.136 W
 Wed Apr 23 13:58:20 2014, 00:1e:c0:81:71:33,  32.3 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.903 V,  20.136 W
 Wed Apr 23 13:58:30 2014, 00:1e:c0:81:71:33,  32.1 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 13:58:40 2014, 00:1e:c0:81:71:33,  32.1 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 13:58:50 2014, 00:1e:c0:81:71:33,  32.4 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 13:59:00 2014, 00:1e:c0:81:71:33,  32.4 C,   1.063 V,     1,       1,       0,     1  0.900 A,  11.926 V,   0.792 A,  11.926 V,  20.184 W
 Wed Apr 23 13:59:10 2014, 00:1e:c0:81:71:33,  32.5 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 13:59:20 2014, 00:1e:c0:81:71:33,  32.6 C,   1.063 V,     1,       1,       0,     1  0.895 A,  11.926 V,   0.792 A,  11.903 V,  20.106 W
 Wed Apr 23 13:59:30 2014, 00:1e:c0:81:71:33,  32.5 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.903 V,  20.136 W
 Wed Apr 23 13:59:40 2014, 00:1e:c0:81:71:33,  32.3 C,   1.063 V,     1,       1,       0,     1  0.900 A,  11.903 V,   0.792 A,  11.926 V,  20.163 W
 Wed Apr 23 13:59:50 2014, 00:1e:c0:81:71:33,  32.5 C,   1.063 V,     1,       1,       0,     1  0.900 A,  11.926 V,   0.792 A,  11.903 V,  20.166 W
 Wed Apr 23 14:00:00 2014, 00:1e:c0:81:71:33,  32.5 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.903 V,   0.792 A,  11.926 V,  20.134 W
 Wed Apr 23 14:00:10 2014, 00:1e:c0:81:71:33,  32.4 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.903 V,  20.136 W
 Wed Apr 23 14:00:20 2014, 00:1e:c0:81:71:33,  32.4 C,   1.063 V,     1,       1,       0,     1  0.900 A,  11.926 V,   0.792 A,  11.926 V,  20.184 W
 Wed Apr 23 14:00:30 2014, 00:1e:c0:81:71:33,  32.4 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:00:40 2014, 00:1e:c0:81:71:33,  32.5 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.903 V,  20.136 W
 Wed Apr 23 14:00:50 2014, 00:1e:c0:81:71:33,  32.4 C,   1.063 V,     1,       1,       0,     1  0.892 A,  11.903 V,   0.792 A,  11.903 V,  20.056 W
 Wed Apr 23 14:01:00 2014, 00:1e:c0:81:71:33,  32.5 C,   1.063 V,     1,       1,       0,     1  0.895 A,  11.926 V,   0.792 A,  11.926 V,  20.125 W
 Wed Apr 23 14:01:10 2014, 00:1e:c0:81:71:33,  32.6 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.903 V,   0.790 A,  11.903 V,  20.086 W
 Wed Apr 23 14:01:20 2014, 00:1e:c0:81:71:33,  32.4 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.903 V,  20.136 W
 Wed Apr 23 14:01:30 2014, 00:1e:c0:81:71:33,  32.6 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.903 V,   0.792 A,  11.903 V,  20.115 W
 Wed Apr 23 14:01:40 2014, 00:1e:c0:81:71:33,  32.4 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.903 V,   0.792 A,  11.903 V,  20.115 W
 Wed Apr 23 14:01:50 2014, 00:1e:c0:81:71:33,  32.4 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:02:00 2014, 00:1e:c0:81:71:33,  32.4 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:02:10 2014, 00:1e:c0:81:71:33,  32.4 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.903 V,  20.136 W
 Wed Apr 23 14:02:20 2014, 00:1e:c0:81:71:33,  32.3 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:02:30 2014, 00:1e:c0:81:71:33,  32.4 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.903 V,   0.792 A,  11.926 V,  20.134 W
 Wed Apr 23 14:02:40 2014, 00:1e:c0:81:71:33,  32.6 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.903 V,   0.792 A,  11.926 V,  20.134 W
 Wed Apr 23 14:02:50 2014, 00:1e:c0:81:71:33,  32.7 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:03:00 2014, 00:1e:c0:81:71:33,  32.7 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:03:10 2014, 00:1e:c0:81:71:33,  32.4 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:03:20 2014, 00:1e:c0:81:71:33,  32.4 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:03:30 2014, 00:1e:c0:81:71:33,  32.5 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:03:40 2014, 00:1e:c0:81:71:33,  32.3 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:03:50 2014, 00:1e:c0:81:71:33,  32.3 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.903 V,  20.136 W
 Wed Apr 23 14:04:00 2014, 00:1e:c0:81:71:33,  32.5 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:04:10 2014, 00:1e:c0:81:71:33,  32.2 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.903 V,  20.136 W
 Wed Apr 23 14:04:20 2014, 00:1e:c0:81:71:33,  32.2 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.949 V,  20.173 W
 Wed Apr 23 14:04:30 2014, 00:1e:c0:81:71:33,  32.2 C,   1.063 V,     1,       1,       0,     1  0.895 A,  11.903 V,   0.792 A,  11.926 V,  20.104 W
 Wed Apr 23 14:04:40 2014, 00:1e:c0:81:71:33,  32.1 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.903 V,  20.136 W
 Wed Apr 23 14:04:50 2014, 00:1e:c0:81:71:33,  32.1 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:05:00 2014, 00:1e:c0:81:71:33,  32.0 C,   1.063 V,     1,       1,       0,     1  0.900 A,  11.926 V,   0.792 A,  11.926 V,  20.184 W
 Wed Apr 23 14:05:10 2014, 00:1e:c0:81:71:33,  32.1 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.949 V,   0.792 A,  11.926 V,  20.175 W
 Wed Apr 23 14:05:20 2014, 00:1e:c0:81:71:33,  32.3 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.903 V,  20.136 W
 Wed Apr 23 14:05:30 2014, 00:1e:c0:81:71:33,  32.1 C,   1.063 V,     1,       1,       0,     1  0.895 A,  11.926 V,   0.792 A,  11.926 V,  20.125 W
 Wed Apr 23 14:05:40 2014, 00:1e:c0:81:71:33,  32.2 C,   1.063 V,     1,       1,       0,     1  0.900 A,  11.903 V,   0.792 A,  11.926 V,  20.163 W
 Wed Apr 23 14:05:50 2014, 00:1e:c0:81:71:33,  32.0 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.903 V,   0.792 A,  11.926 V,  20.134 W
 Wed Apr 23 14:06:00 2014, 00:1e:c0:81:71:33,  32.2 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.903 V,  20.136 W
 Wed Apr 23 14:06:10 2014, 00:1e:c0:81:71:33,  32.1 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.903 V,  20.136 W
 Wed Apr 23 14:06:20 2014, 00:1e:c0:81:71:33,  32.3 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.903 V,  20.136 W
 Wed Apr 23 14:06:30 2014, 00:1e:c0:81:71:33,  32.1 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:06:40 2014, 00:1e:c0:81:71:33,  32.1 C,   1.063 V,     1,       1,       0,     1  0.895 A,  11.926 V,   0.792 A,  11.903 V,  20.106 W
 Wed Apr 23 14:06:50 2014, 00:1e:c0:81:71:33,  32.3 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:07:00 2014, 00:1e:c0:81:71:33,  32.1 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:07:10 2014, 00:1e:c0:81:71:33,  32.2 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.903 V,   0.792 A,  11.903 V,  20.115 W
 Wed Apr 23 14:07:20 2014, 00:1e:c0:81:71:33,  32.2 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:07:30 2014, 00:1e:c0:81:71:33,  32.4 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:07:40 2014, 00:1e:c0:81:71:33,  32.2 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.903 V,   0.792 A,  11.903 V,  20.115 W
 Wed Apr 23 14:07:50 2014, 00:1e:c0:81:71:33,  32.3 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.903 V,   0.792 A,  11.926 V,  20.134 W
 Wed Apr 23 14:08:00 2014, 00:1e:c0:81:71:33,  32.3 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.949 V,   0.792 A,  11.926 V,  20.175 W
 Wed Apr 23 14:08:10 2014, 00:1e:c0:81:71:33,  32.5 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.903 V,   0.792 A,  11.926 V,  20.134 W
 Wed Apr 23 14:08:20 2014, 00:1e:c0:81:71:33,  32.4 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:08:30 2014, 00:1e:c0:81:71:33,  32.3 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:08:40 2014, 00:1e:c0:81:71:33,  32.2 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.903 V,  20.136 W
 Wed Apr 23 14:08:50 2014, 00:1e:c0:81:71:33,  32.0 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.903 V,   0.792 A,  11.903 V,  20.115 W
 Wed Apr 23 14:09:00 2014, 00:1e:c0:81:71:33,  32.0 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:09:10 2014, 00:1e:c0:81:71:33,  32.0 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.903 V,  20.136 W
 Wed Apr 23 14:09:20 2014, 00:1e:c0:81:71:33,  32.3 C,   1.063 V,     1,       1,       0,     1  0.900 A,  11.926 V,   0.792 A,  11.926 V,  20.184 W
 Wed Apr 23 14:09:30 2014, 00:1e:c0:81:71:33,  32.3 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:09:40 2014, 00:1e:c0:81:71:33,  32.3 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:09:50 2014, 00:1e:c0:81:71:33,  32.2 C,   1.063 V,     1,       1,       0,     1  0.895 A,  11.926 V,   0.792 A,  11.926 V,  20.125 W
 Wed Apr 23 14:10:00 2014, 00:1e:c0:81:71:33,  32.3 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.903 V,   0.792 A,  11.926 V,  20.134 W
 Wed Apr 23 14:10:10 2014, 00:1e:c0:81:71:33,  32.1 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.903 V,  20.136 W
 Wed Apr 23 14:10:20 2014, 00:1e:c0:81:71:33,  32.3 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:10:30 2014, 00:1e:c0:81:71:33,  32.4 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:10:40 2014, 00:1e:c0:81:71:33,  32.2 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:10:50 2014, 00:1e:c0:81:71:33,  32.4 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:11:00 2014, 00:1e:c0:81:71:33,  32.4 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:11:10 2014, 00:1e:c0:81:71:33,  32.4 C,   1.063 V,     1,       1,       0,     1  0.900 A,  11.926 V,   0.792 A,  11.926 V,  20.184 W
 Wed Apr 23 14:11:20 2014, 00:1e:c0:81:71:33,  32.5 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:11:30 2014, 00:1e:c0:81:71:33,  32.5 C,   1.063 V,     1,       1,       0,     1  0.900 A,  11.926 V,   0.792 A,  11.926 V,  20.184 W
 Wed Apr 23 14:11:40 2014, 00:1e:c0:81:71:33,  32.4 C,   1.063 V,     1,       1,       0,     1  0.900 A,  11.926 V,   0.792 A,  11.926 V,  20.184 W
 Wed Apr 23 14:11:50 2014, 00:1e:c0:81:71:33,  32.5 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:12:00 2014, 00:1e:c0:81:71:33,  32.2 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.903 V,  20.136 W
 Wed Apr 23 14:12:10 2014, 00:1e:c0:81:71:33,  32.5 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:12:20 2014, 00:1e:c0:81:71:33,  32.5 C,   1.063 V,     1,       1,       0,     1  0.900 A,  11.926 V,   0.792 A,  11.926 V,  20.184 W
 Wed Apr 23 14:12:30 2014, 00:1e:c0:81:71:33,  32.5 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.903 V,   0.792 A,  11.926 V,  20.134 W
 Wed Apr 23 14:12:40 2014, 00:1e:c0:81:71:33,  32.5 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:12:50 2014, 00:1e:c0:81:71:33,  32.5 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:13:00 2014, 00:1e:c0:81:71:33,  32.6 C,   1.063 V,     1,       1,       0,     1  0.900 A,  11.926 V,   0.792 A,  11.926 V,  20.184 W
 Wed Apr 23 14:13:10 2014, 00:1e:c0:81:71:33,  32.4 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.903 V,   0.792 A,  11.926 V,  20.134 W
 Wed Apr 23 14:13:20 2014, 00:1e:c0:81:71:33,  32.2 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.903 V,   0.792 A,  11.926 V,  20.134 W
 Wed Apr 23 14:13:30 2014, 00:1e:c0:81:71:33,  32.4 C,   1.063 V,     1,       1,       0,     1  0.900 A,  11.926 V,   0.792 A,  11.926 V,  20.184 W
 Wed Apr 23 14:13:40 2014, 00:1e:c0:81:71:33,  32.2 C,   1.063 V,     1,       1,       0,     1  0.895 A,  11.926 V,   0.792 A,  11.926 V,  20.125 W
 Wed Apr 23 14:13:50 2014, 00:1e:c0:81:71:33,  32.4 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.903 V,   0.792 A,  11.926 V,  20.134 W
 Wed Apr 23 14:14:00 2014, 00:1e:c0:81:71:33,  32.4 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:14:10 2014, 00:1e:c0:81:71:33,  32.5 C,   1.063 V,     1,       1,       0,     1  0.900 A,  11.926 V,   0.792 A,  11.926 V,  20.184 W
 Wed Apr 23 14:14:20 2014, 00:1e:c0:81:71:33,  32.3 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.903 V,   0.792 A,  11.903 V,  20.115 W
 Wed Apr 23 14:14:30 2014, 00:1e:c0:81:71:33,  32.1 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:14:40 2014, 00:1e:c0:81:71:33,  32.3 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.926 V,  20.154 W
 Wed Apr 23 14:14:50 2014, 00:1e:c0:81:71:33,  32.0 C,   1.063 V,     1,       1,       0,     1  0.897 A,  11.926 V,   0.792 A,  11.903 V,  20.136 W
